age,c_charge_degree,race,age_cat,score_text,sex,priors_count,days_b_screening_arrest,decile_score,length_of_stay,class
49,0,0,1,1,1,13,-1.0,3,0,0
28,0,0,0,0,1,18,0.0,9,0,1
70,0,5,1,1,0,0,-1.0,1,0,0
22,0,5,2,1,0,0,-1.0,4,2,0
25,1,0,0,1,0,0,-1.0,4,1,1
25,1,0,0,0,1,3,-1.0,10,80,1
28,0,2,0,2,0,3,0.0,6,0,1
25,0,2,0,0,1,4,-30.0,9,1,0
26,1,0,0,1,1,3,0.0,4,1,1
31,1,2,0,1,0,0,-5.0,3,0,0
20,0,0,2,2,1,1,3.0,5,4,1
34,1,2,0,1,1,3,-1.0,4,1,1
23,0,0,2,0,1,8,0.0,9,255,1
31,0,2,0,0,1,4,0.0,8,1,1
45,0,3,1,2,1,8,-1.0,6,1,0
32,0,0,0,2,1,2,0.0,7,1,1
52,1,2,1,1,0,0,0.0,1,0,0
53,0,0,1,2,1,3,-1.0,6,5,1
37,1,0,0,2,1,11,-1.0,7,0,1
29,0,0,0,2,1,1,-1.0,5,3,1
29,0,0,0,2,1,6,-22.0,6,22,1
31,0,0,0,1,0,1,0.0,3,33,1
26,0,2,0,2,1,2,-1.0,5,0,0
50,1,0,1,2,1,2,-28.0,5,0,1
30,0,2,0,1,1,0,-1.0,2,0,0
29,1,2,0,1,1,0,-2.0,3,0,0
56,0,2,1,1,1,1,0.0,2,15,0
29,1,0,0,0,1,11,-1.0,10,0,0
24,0,0,2,0,1,10,0.0,10,0,1
36,1,2,0,1,1,0,0.0,1,0,0
24,0,2,2,2,1,8,-1.0,6,12,1
35,1,0,0,0,1,0,-1.0,8,57,1
37,0,2,0,1,1,1,0.0,2,-1,1
28,0,0,0,2,0,4,-1.0,5,2,1
23,0,0,2,0,1,2,-1.0,9,76,0
32,0,0,0,2,1,0,-1.0,7,24,0
55,0,0,1,1,0,1,-1.0,1,0,0
30,0,0,0,0,0,15,-4.0,9,-1,1
35,1,0,0,2,1,12,0.0,6,1,1
50,0,2,1,1,1,9,-1.0,3,424,1
28,0,0,0,1,1,0,0.0,4,0,0
33,0,0,0,1,1,0,-1.0,1,0,0
37,0,0,0,0,1,24,-1.0,8,19,0
24,1,0,2,2,1,0,-1.0,7,3,0
19,1,0,2,1,0,0,-1.0,4,1,1
24,1,1,2,1,1,0,0.0,2,0,0
48,0,2,1,1,1,0,-1.0,2,1,0
54,0,0,1,1,1,4,-1.0,1,1,0
37,0,3,0,1,1,1,-1.0,3,0,0
46,0,0,1,1,1,0,-1.0,1,1,0
21,0,2,2,1,0,0,-2.0,4,1,0
37,1,2,0,1,0,1,-25.0,3,1,0
20,0,2,2,1,1,0,-1.0,4,1,1
39,0,0,0,2,0,6,0.0,5,0,0
43,0,0,0,2,1,8,-1.0,7,348,1
23,0,0,2,2,1,6,0.0,6,1,1
23,0,3,2,2,1,2,-1.0,5,2,0
23,0,2,2,2,0,0,-1.0,6,1,1
27,0,2,0,0,1,7,-1.0,8,0,1
22,0,0,2,1,1,0,-1.0,3,1,1
33,1,3,0,1,1,1,0.0,4,0,0
36,1,2,0,1,1,9,0.0,4,1,1
56,0,2,1,1,1,13,-13.0,2,6,0
34,0,0,0,0,1,11,0.0,8,0,1
32,1,3,0,1,0,0,0.0,1,10,0
26,0,0,0,0,0,3,-1.0,10,0,1
23,0,0,2,0,1,4,-1.0,9,143,1
22,0,0,2,0,1,0,-1.0,8,0,1
30,0,2,0,1,1,4,-25.0,4,3,0
43,0,5,0,1,1,3,-1.0,4,0,0
24,0,0,2,0,0,7,-1.0,9,1,0
22,0,5,2,1,1,5,-1.0,4,2,1
29,0,0,0,1,1,3,-1.0,2,1,1
58,0,0,1,1,0,4,-14.0,2,1,1
27,0,0,0,0,1,15,-1.0,10,48,1
29,0,3,0,1,0,1,-1.0,2,1,1
58,0,2,1,1,1,5,-1.0,3,1,1
23,0,0,2,2,1,3,0.0,7,1,0
23,0,0,2,1,1,0,-1.0,3,0,1
54,0,0,1,1,1,0,-1.0,1,1,0
30,1,0,0,1,0,2,-1.0,3,0,0
52,0,2,1,1,0,1,-8.0,1,3,0
29,1,0,0,1,1,2,-1.0,3,2,1
26,1,2,0,2,1,0,-1.0,5,1,0
38,0,0,0,0,1,19,-4.0,9,0,1
21,0,2,2,2,1,0,-1.0,5,1,1
30,0,0,0,1,1,2,-1.0,3,1,1
57,1,2,1,1,1,0,-3.0,1,1,0
43,1,5,0,1,1,2,-1.0,1,1,0
31,0,3,0,0,1,16,0.0,10,482,1
22,0,0,2,1,1,0,-1.0,3,7,1
21,0,3,2,1,1,0,0.0,4,0,1
49,0,2,1,1,0,1,-1.0,1,1,0
48,0,0,1,2,1,10,-1.0,7,4,1
30,0,0,0,2,1,9,-1.0,6,1,1
32,1,0,0,0,1,1,-1.0,10,115,0
24,0,2,2,1,1,3,-1.0,4,1,1
21,0,2,2,1,1,1,-1.0,3,1,0
46,0,0,1,1,1,9,-1.0,4,5,0
50,1,2,1,2,0,30,-1.0,6,3,1
22,1,0,2,2,1,1,-1.0,7,1,0
49,1,3,1,1,1,0,-1.0,2,1,0
49,0,2,1,1,1,8,-24.0,2,24,0
32,0,0,0,2,1,10,-1.0,6,0,1
51,0,2,1,1,1,6,0.0,1,0,1
69,0,2,1,2,1,0,-1.0,5,0,0
48,0,0,1,1,1,5,-1.0,4,0,1
27,0,0,0,0,1,3,-1.0,9,0,1
41,0,0,0,1,1,8,-1.0,2,1,1
69,1,2,1,1,1,0,-1.0,1,0,0
57,0,2,1,1,1,6,-23.0,2,1,0
22,1,0,2,0,1,2,-1.0,9,54,1
